sample	init_young	init_poisson	opt_young	opt_poisson	init_wcs	opt_wcs	init_zcompress_min	init_zcompress_max	opt_zcompress_min	opt_zcompress_max	init_zcompress_sim_min	init_zcompress_sim_max	opt_zcompress_sim_min	opt_zcompress_sim_max	init_zcompress_sim_2x2x1_min	init_zcompress_sim_2x2x1_max	opt_zcompress_sim_2x2x1_min	opt_zcompress_sim_2x2x1_max
0024_97	0.0196538226763268	0.3749241376979623	0.01974074854000226	0.3734212528117283	1.1908215103272787e+04	7.3992445084602687e+03	-1.4716215273712689e+02	6.3366748342485238e+01	-1.0017896384516287e+02	6.0364052915380519e+01	-4.2663232619419539e+01	2.7388915036175003e+01	-2.8215004439047522e+01	2.8416875014158919e+01	-4.2649312581686956e+01	2.6846125875128422e+01	-2.9239213003224418e+01	2.7832002386872198e+01	
0077_105	0.2502008256657698	0.1249610102897911	0.2551772476114862	0.1246947079306816	2.3540403980805381e+03	9.3452397630297321e+02	-3.5293436933226553e+02	2.3785918988554872e+02	-1.7883481175568366e+02	1.4143190126750733e+02	-1.7100392011150183e+02	1.2929705876981933e+02	-8.6475193646497473e+01	6.9202255347140309e+01	-1.7307079440276914e+02	1.2976159954077846e+02	-8.7497159633380534e+01	6.9571439640767949e+01	
0077_144	0.5000527683866629	0.1564494207783252	0.5140049623966101	0.1575098577409762	1.9529905331966299e+03	6.0290790596014892e+02	-4.6967858947177609e+02	2.8516711557493181e+02	-2.6379175699993289e+02	1.9283208789753837e+02	-2.2424415813782218e+02	1.5600625842914289e+02	-1.2674408789093000e+02	9.5929054551757474e+01	-2.2756917181310328e+02	1.5638968637127149e+02	-1.2871502441710189e+02	9.6348094179927074e+01	
0077_200	1.000667841480834	0.1574439766998306	1.016482676418842	0.1568827425296817	8.5280613560418556e+02	3.4800513882160510e+02	-6.8429900299703070e+02	3.2616288608554942e+02	-3.2594365519080748e+02	1.6299989531346759e+02	-3.2855673058530152e+02	1.7031668817344925e+02	-1.5026463160020262e+02	7.4277936130864987e+01	-3.3275226577867454e+02	1.7035548614043714e+02	-1.5427898439804480e+02	7.9874571863238756e+01	
0077_201	0.9994990092493551	0.2187517409158589	1.005308797522612	0.2213064296247209	6.6619501778369533e+02	4.0753093080207913e+02	-5.1984800237530453e+02	1.6937310723133206e+02	-3.3807138421275289e+02	1.1720694503450734e+02	-2.3513699289220446e+02	1.1693101916598280e+02	-1.6579426894727388e+02	9.1816133441241519e+01	-2.4029670914579916e+02	1.1480652299906710e+02	-1.6695360094915839e+02	9.0083296317281366e+01	
0077_202	0.9980459215774615	0.1249597052310141	0.9986816806443385	0.1248197687283925	9.8948642537554963e+02	1.0208741899196913e+03	-7.8312308452256764e+02	4.3493521767019053e+02	-7.2618469147166138e+02	4.2804571969449478e+02	-3.8316497518153380e+02	2.2578069474357738e+02	-3.5468958200300341e+02	2.2312817493181223e+02	-3.8527793420565092e+02	2.2578183980618064e+02	-3.5677802146500267e+02	2.2314984512816980e+02	
0077_214	1.24493710616713	0.3444462263427747	1.24571643501976	0.3441555855269512	1.0185223919468999e+03	3.3161596774393610e+02	-5.6110661513840523e+02	1.4119455336399611e+02	-3.0120959849743298e+02	2.1662053054803440e+02	-2.7895758325074502e+02	1.3902840771400537e+02	-1.5116269293113893e+02	1.4084745779865671e+02	-2.8161903999713161e+02	1.5135280267752754e+02	-1.5825378688041491e+02	1.5092398272101340e+02	
0077_234	1.585419992680557	0.2185730076012025	1.599074846518629	0.2178572235724177	8.5340551099014988e+02	2.2837503448530953e+02	-7.5914375012588880e+02	3.3381842553371007e+02	-3.7951894921448667e+02	1.4401109526856072e+02	-2.6166695962734343e+02	1.5985962174964115e+02	-1.6138888019135339e+02	7.3570032898751535e+01	-2.9235181591045693e+02	1.5443588565193647e+02	-1.6152993636944848e+02	7.2042277776350844e+01	
0077_244	1.984615819784196	0.2817958006644214	2.001759438470728	0.2767880733975939	1.0691377176432081e+03	2.0560493754927899e+02	-1.0076067475576829e+03	4.7498283677024642e+02	-3.4203768495580010e+02	1.4735440326704227e+02	-2.9495524088390721e+02	2.1779988782812032e+02	-1.7063363945893914e+02	9.9438708944137488e+01	-3.1107272972082609e+02	2.2925348899504164e+02	-1.6976055963462096e+02	1.0296384126701885e+02	
0077_250	1.999352960533317	0.2504990541190178	2.007055391351088	0.2486245500518963	7.9599237707474902e+02	2.1755085945379406e+02	-7.5835985225068669e+02	3.8240662011725556e+02	-3.4816190340548172e+02	2.1014277834540633e+02	-2.5490406796771586e+02	1.8436808252986535e+02	-1.7352355878152215e+02	1.2073361748221940e+02	-2.7501078946568788e+02	2.1108800612018962e+02	-1.7954748602962556e+02	1.2469308500299618e+02	
0077_269	2.519390696120067	0.2497610954404269	2.536944895877896	0.2469046728501556	6.4815420477104919e+02	1.6499365056429772e+02	-8.5687309922126474e+02	6.7107978461304026e+02	-3.8289407280980822e+02	1.6599972499869872e+02	-2.7519352279554067e+02	3.1688623307986722e+02	-1.8596160287307825e+02	9.0773899524034704e+01	-2.9868864927051351e+02	3.4817000504166663e+02	-1.8577777101555324e+02	9.0996730953435971e+01	
0077_270	2.52365821678813	0.2807394923531253	2.521638477293966	0.2804963095396737	8.3084466651080015e+02	1.6627571408422469e+02	-7.7158320073944026e+02	6.1184063034036410e+02	-3.2661866025724913e+02	7.3391473980033950e+01	-2.8228677513795338e+02	2.8414763630616835e+02	-1.6776002165838437e+02	8.4991392047912328e+01	-2.8209953387058607e+02	2.9701454117634211e+02	-1.7166876546503175e+02	8.2469121491005566e+01	
0077_276	3.16565322776193	0.2197740719587749	3.126349347556646	0.2169757527638971	5.6224271447663216e+02	1.4612079720901642e+02	-8.0950083296078799e+02	5.0427825063741125e+02	-4.4549304683333008e+02	1.9527549077880516e+02	-2.9465577528863304e+02	2.4781810121318713e+02	-2.1013859921052054e+02	9.6747481294918060e+01	-3.2103714202314887e+02	3.0894729587234326e+02	-2.1168956772135439e+02	9.7004392896799601e+01	
0077_278	3.172663815404381	0.2488471376726254	3.188852282607157	0.2479292754197833	5.7535125537043666e+02	1.3745007356989959e+02	-7.9586734975807235e+02	6.2049056534265810e+02	-4.0983053541564976e+02	2.1518589305358682e+02	-2.6602829795757401e+02	3.0442020612573219e+02	-2.0906433886133917e+02	1.1380061477216141e+02	-2.7872005441618262e+02	3.4031961038162814e+02	-2.1031280658791397e+02	1.1506257740287482e+02	
0077_297	3.998319497654895	0.2500770419319531	4.098910930533346	0.2488388261088668	4.9820601150309301e+02	1.1095958302897132e+02	-6.8310874749404275e+02	6.1891407018506914e+02	-4.4079435281494978e+02	1.2728102574930124e+02	-2.3985196547620907e+02	3.1708799665963397e+02	-2.0951243590924759e+02	1.0305107590165834e+02	-2.5120485220751465e+02	3.6408144638171666e+02	-2.0987174928036760e+02	9.9992361544188682e+01	
0077_365	15.99417480999997	0.2497085067826923	16.1290101824137	0.2519104969900658	2.3131834178340074e+02	4.6187267147335582e+01	-2.6421891477664876e+03	2.1219515877345373e+02	-5.6740228685919044e+02	8.7045640286687529e+01	-9.8883589950117062e+02	2.5675947644179195e+02	-3.0434149016289496e+02	8.2094360352460313e+01	-1.0394591338378398e+03	2.7432994111505116e+02	-3.0508585246358950e+02	8.5144897503274734e+01	
0077_48	0.09926301764394156	0.09410498651638992	0.09998542535213516	0.08888772340382863	4.7040973778333973e+03	1.6855430565296967e+03	-2.5241773234192127e+02	1.3233585183726464e+02	-1.3677318210473393e+02	1.1420122963226299e+02	-1.1284156584401143e+02	6.6510790184042619e+01	-6.6698557900832611e+01	5.5850800484251913e+01	-1.1648544356544659e+02	6.6434170253143122e+01	-6.7553300063883327e+01	5.6690575471333666e+01	
0077_52	0.09965680758550839	0.06265562723064254	0.0991957913607989	0.06295869621161597	4.7394106647159024e+03	1.8727825753993254e+03	-2.7405182184570612e+02	1.4429482772202584e+02	-1.6173338587331324e+02	1.0913277797560136e+02	-1.3276995969895592e+02	7.2650189540884327e+01	-8.0334045318974049e+01	5.3968304194536671e+01	-1.3403436759867458e+02	7.2670253631413530e+01	-8.0788408723956010e+01	5.4411684699605509e+01	
0646_127	0.01967548221401428	-0.03143573933579814	0.01946827378172635	-0.03302874451150805	1.7627479061231013e+04	3.9193660761063134e+03	-1.6980014069438369e+02	3.9761814638465751e+01	-6.8490599909716181e+01	4.4338306343918028e+01	-8.7348199600154132e+01	2.0607012948235674e+01	-3.3103523280116136e+01	2.3628197668785042e+01	-8.8769024874474312e+01	2.1102561048662952e+01	-3.4443241645273936e+01	2.3759185234354934e+01	
0646_140	0.01967069077013722	-0.1565409947429599	0.01970656313720232	-0.1583029720317927	1.9463491992532661e+04	3.6923109910858248e+03	-1.6253223469852983e+02	5.9219969912041563e+01	-6.3203902013037620e+01	4.1128055376198894e+01	-8.9687919230330223e+01	2.0385744728477285e+01	-3.1026359478248438e+01	2.1479125984978374e+01	-9.5975773920006432e+01	2.2455424667674034e+01	-3.1642312529224988e+01	2.1759040608527339e+01	
0646_163	0.02477864566567569	-0.2498029577373778	0.02517249439011271	-0.2509383796407286	1.1815932669901866e+04	3.9907786029748677e+03	-1.1351791077270120e+02	8.9448200565619530e+01	-8.0592686741186697e+01	5.2364904182032262e+01	-5.9663194651606595e+01	2.3409851708514836e+01	-3.7400676547435417e+01	2.6473617552025235e+01	-6.5970328873030851e+01	2.7988273354149868e+01	-3.9778278110917100e+01	2.6964978733971400e+01	
0646_164	0.02477946670031212	-0.06268676505612103	0.02431656015206464	-0.06189645101295368	1.6759670881681846e+04	2.9919726994973148e+03	-1.8239899202058979e+02	5.6813672935023000e+01	-5.4838041987563010e+01	4.1184496078683594e+01	-9.8901899595515573e+01	2.0973536364183957e+01	-2.9716672942818661e+01	2.3252299532338025e+01	-1.0122296944249305e+02	2.4921798324655427e+01	-2.9839568619814624e+01	2.3387796999529968e+01	
0646_176	0.02479112462694981	-0.1564223400200879	0.02482891777844599	-0.1560550833242986	1.3861011840899768e+04	3.4562690885392481e+03	-1.3976941778308210e+02	7.7289603718542139e+01	-5.6676945726106233e+01	4.3906777195814421e+01	-7.4309789769715962e+01	2.3576847777557809e+01	-2.8343686638920797e+01	2.3224803668280462e+01	-7.9978985221518414e+01	2.9381110086809866e+01	-2.8613734623240411e+01	2.3473982521801396e+01	
0646_188	0.02484815536972295	-0.1251542729600768	0.02488969077154807	-0.1239028018507253	1.4581092317023951e+04	3.4027426292679447e+03	-1.5790400961544884e+02	5.9136312079022154e+01	-6.3980206039790289e+01	4.7752632009725865e+01	-8.7881641238562580e+01	2.3196302058475055e+01	-3.0104455948548445e+01	2.5365400844846178e+01	-9.1381104150386662e+01	2.3768951723318800e+01	-3.2001868154183306e+01	2.5583594639512786e+01	
0646_210	0.03121012339419863	-0.2176378210866969	0.03126527360574338	-0.2176000168683324	1.3488291459114847e+04	2.8377349936449400e+03	-1.6438131318193777e+02	9.2635981241115672e+01	-7.5283880281714190e+01	5.4599933952797201e+01	-8.8789730001895634e+01	2.6498079339268074e+01	-3.3925411770557673e+01	2.6082717194966918e+01	-9.8584819926845867e+01	3.1553853301768914e+01	-3.6646865304960720e+01	2.7565622843534253e+01	
0646_216	0.03126073897464635	0.09334870458256388	0.03136892926664528	0.09211512143006099	1.1091522410548278e+04	2.8808862991666110e+03	-1.8009707728300248e+02	5.2634181908574732e+01	-6.2975188920468895e+01	6.2493282894347672e+01	-8.3377391918600395e+01	2.8387931893488375e+01	-2.9828195699512605e+01	2.9775356056168381e+01	-8.4585517706176219e+01	3.1543095599669897e+01	-3.2722513716724166e+01	3.1470333398347041e+01	
